measure_id, measure_name, location_id, location_name, sex_id, sex_name, age_id, age_name, cause_id, cause_name, metric_id, metric_name, year, val, upper, lower
1,Deaths,1,Global,3,Both,22,All Ages,543,Alzheimer's disease and other dementias,1,Number,2017,2514618.9006633,2550346.24784555,2470511.54249205
1,Deaths,1,Global,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2017,340639.167843545,355088.649168957,324377.524955625
1,Deaths,1,Global,3,Both,22,All Ages,545,Epilepsy,1,Number,2017,130237.254442416,150773.540685926,116998.068481538
1,Deaths,1,Global,3,Both,22,All Ages,546,Multiple sclerosis,1,Number,2017,20654.8545647089,22238.3742900792,17721.2588484328
1,Deaths,1,Global,3,Both,22,All Ages,560,Alcohol use disorders,1,Number,2017,184934.241760378,193026.863866247,166716.281152192
1,Deaths,1,Global,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,166612.548448228,170264.383521939,163396.803162862
1,Deaths,1,Global,3,Both,22,All Ages,573,Anorexia nervosa,1,Number,2017,238.613497853302,263.971061992447,205.679268637088
1,Deaths,1,Global,3,Both,22,All Ages,574,Bulimia nervosa,1,Number,2017,87.8576247594386,122.343335491698,73.2973035193243
1,Deaths,1,Global,3,Both,22,All Ages,587,Diabetes mellitus,1,Number,2017,1369848.95888256,1401943.54043648,1340286.90462531
1,Deaths,1,Global,3,Both,22,All Ages,589,Chronic kidney disease,1,Number,2017,1230168.04624274,1258828.93098994,1195114.28866693
1,Deaths,1,Global,3,Both,22,All Ages,595,Urinary tract infections,1,Number,2017,206388.576515673,223156.080486711,197904.739535134
